id,label,user_id,degree_centrality,in_degree,out_degree,betweenness_centrality,closeness_centrality,pagerank,clustering_coefficient,eigenvector_centrality
143,raniarji3-cloud,234745543,8.250825082508251e-05,1,0,0.0,0.0,0.00012288117515581978,0.0,0.003549860978844708
144,gayanMatch,132382032,0.0,0,0,0.0,0.0,0.000112598494271797,0.0,0.0
145,SAURABHHAM44,153006191,8.250825082508251e-05,1,0,0.0,0.0,0.00012459495530315693,0.0,0.004141504475318826
146,chimalasaikiran,138483691,8.250825082508251e-05,1,0,0.0,0.0,0.00011960157412488539,0.0,0.0
147,stevi84,20553022,8.250825082508251e-05,1,0,0.0,0.0,0.00011277507869613686,0.0,0.0
148,Kishan-Talaviya-TBS,235819694,0.00016501650165016502,2,0,0.0,0.0,0.00012214009108506627,1.0,0.005021154512479892
149,Zer0dev1,163362130,8.250825082508251e-05,1,0,0.0,0.0,0.000116177839360112,0.0,0.002422725566956529
150,UlisesGascon,5110813,0.02929042904290429,65,290,0.01231035070214774,0.2835513459414164,0.0068144992726295985,0.005934399857002413,0.5663896346188125
151,Satyam8589,137251288,0.00024752475247524753,3,0,0.0,0.0,0.0002265880696555542,0.0,0.0038976434182850443
152,gabrieel1007,121512531,0.0011551155115511551,13,1,0.0008211879118263371,0.19477515387600247,0.000962283443655736,0.11538461538461539,0.0362266069055893
153,sahil9001,32628578,0.00016501650165016502,2,0,0.0,0.0,0.0001322885292916272,1.0,0.00591643496474118
154,dohrisalim,104096451,8.250825082508251e-05,0,1,0.0,0.17119438221194383,0.000112598494271797,0.0,0.0
155,lightight,162417562,8.250825082508251e-05,1,0,0.0,0.0,0.00012154187185922839,0.0,0.0038976434182850443
156,MirrorDNA-Reflection-Protocol,239564541,0.00016501650165016502,2,0,0.0,0.0,0.00011653100820879173,1.0,0.002422725566956529
157,SID-2006,189277110,8.250825082508251e-05,1,0,0.0,0.0,0.000116177839360112,0.0,0.002422725566956529
158,yogesh-021-code,243943567,8.250825082508251e-05,1,0,0.0,0.0,0.00012154187185922839,0.0,0.0038976434182850443
159,JanhaviPawar2004,220880890,8.250825082508251e-05,1,0,0.0,0.0,0.0001189790781379442,0.0,0.0
160,rxmarbles,9443787,0.00041254125412541255,3,2,6.808735007846386e-09,0.17185622997783648,0.00014930555424476228,0.8333333333333334,0.014923231010797169
161,Florine0113,55675357,8.250825082508251e-05,1,0,0.0,0.0,0.00011856406941898866,0.0,0.004037875944927548
162,Wisp-xd,212655059,8.250825082508251e-05,1,0,0.0,0.0,0.00012095029947786533,0.0,0.0056530263228985675
163,ST4RKJR,179912204,0.00016501650165016502,2,0,0.0,0.0,0.00012112688390220519,1.0,0.0056530263228985675
164,ctcpip,15326526,0.0039603960396039604,9,39,0.0004822781193620362,0.21628704344876265,0.0005436171498055102,0.08305647840531562,0.08396391793395061
165,theaniketgiri,145838770,0.00033003300330033004,4,0,0.0,0.0,0.00017755016363499486,0.5,0.008611243805269158
166,BOXER78,84309847,0.00041254125412541255,5,0,0.0,0.0,0.000421800410262302,0.1,0.006836313315846804
167,AlexJMcloud,65539718,8.250825082508251e-05,1,0,0.0,0.0,0.00011277507869613686,0.0,0.0
168,Magnus1X,191045884,0.00016501650165016502,2,0,0.0,0.0,0.00012208641005509525,0.0,0.0015408069713359347
169,Shivam-75,217227179,0.00033003300330033004,3,1,1.9336807422283736e-05,0.00016501650165016502,0.00011944180307452308,0.16666666666666666,0.002422725566956529
170,marcosmol204,53741892,0.00033003300330033004,4,0,0.0,0.0,0.00017130565308691003,0.3333333333333333,0.011306052645797135
171,pckrishnadas88,5269476,8.250825082508251e-05,1,0,0.0,0.0,0.00011515072781825588,0.0,0.0
172,rajgupta2,116866281,0.00033003300330033004,4,0,0.0,0.0,0.00040809381760108606,0.0,1.1114751712801823e-05
173,ASnow,572218,8.250825082508251e-05,1,0,0.0,0.0,0.00012750412358418267,0.0,0.0064960723638084064
174,Vynxvoid,180323308,0.00016501650165016502,2,0,0.0,0.0,0.00011683367232007736,0.0,0.0
175,Phillip9587,17254592,0.0022277227722772275,12,15,0.0004390976460127003,0.21204151758459427,0.0007890785928487681,0.2077922077922078,0.25103616109360805
176,sanjana2505006,183577111,0.00033003300330033004,4,0,0.0,0.0,0.00021606811652068804,0.3333333333333333,0.002422725566956529
177,SIVALANAGASHANKARNIVAS,221037036,8.250825082508251e-05,1,0,0.0,0.0,0.00011321653975698654,0.0,0.0
178,khushboo201992,232340743,8.250825082508251e-05,1,0,0.0,0.0,0.0001304852494466598,0.0,0.007795286836570089
179,dynst,148708712,0.0004950495049504951,6,0,0.0,0.0,0.00015950215592786828,0.8666666666666667,0.01832332655173482
180,sudip-kumar-prasad,184346250,0.00016501650165016502,2,0,0.0,0.0,0.00011874065384332852,1.0,0.004037875944927548
181,JPfacts,174792073,0.00016501650165016502,2,0,0.0,0.0,0.00021427282741119663,0.0,0.004037875944927548
182,opnsrcntrbtr,7788571,0.00016501650165016502,2,0,0.0,0.0,0.0001445109945187773,0.0,0.00295821748237059
183,mspoerer,6773651,0.00016501650165016502,2,0,0.0,0.0,0.00012409410540568727,1.0,0.0038976434182850443
184,Tilak1929,211188790,8.250825082508251e-05,1,0,0.0,0.0,0.00012154187185922839,0.0,0.0038976434182850443
185,anshiii14,199502004,8.250825082508251e-05,1,0,0.0,0.0,0.00012154187185922839,0.0,0.0038976434182850443
186,Meet00028,187490720,0.00016501650165016502,2,0,0.0,0.0,0.00011873007290657087,1.0,0.002422725566956529
187,tushar73-jet,184378329,8.250825082508251e-05,1,0,0.0,0.0,0.00012095029947786533,0.0,0.0056530263228985675
188,Tacit1,48478887,8.250825082508251e-05,1,0,0.0,0.0,0.00012452964456618034,0.0,0.008075751889855097
189,ankandas3440-alt,221064457,8.250825082508251e-05,1,0,0.0,0.0,0.00012154187185922839,0.0,0.0038976434182850443
190,Ayoub-Mabrouk,77799760,0.0006600660066006601,8,0,0.0,0.0,0.0006315119035732712,0.35714285714285715,0.12429666015443357
191,xsfj,180543420,0.0004950495049504951,6,0,0.0,0.0,0.00022532809641493166,0.4,0.006042923417331107
192,skyeyeye,160033408,0.00016501650165016502,2,0,0.0,0.0,0.0001243960360827812,1.0,0.007268176700869587
193,shivank-1011,184391310,8.250825082508251e-05,1,0,0.0,0.0,0.00011277507869613686,0.0,0.0
