source,target,weight
499,2169,4.0
499,2172,5.0
499,2173,5.0
499,2174,2.0
499,2175,4.0
499,2182,4.0
499,2187,2.0
499,2188,2.0
499,2190,2.0
499,2192,30.0
499,2203,5.0
499,2204,2.0
499,2205,2.0
499,2206,9.0
499,2209,2.0
499,2221,5.0
499,2222,2.0
499,2223,8.0
499,2230,2.0
499,2234,6.0
499,2235,8.0
499,2237,52.0
499,2239,4.0
499,2240,2.0
499,2242,12.0
499,2247,8.0
499,2250,14.0
499,2252,2.0
499,2253,7.0
499,2254,7.0
499,2255,2.0
499,2256,4.0
499,2258,6.0
499,2261,4.0
499,2262,2.0
499,2263,8.0
499,2264,2.0
499,2267,2.0
499,2271,4.0
499,2276,2.0
499,2282,8.0
499,2283,2.0
499,2284,2.0
499,2296,4.0
499,2297,12.0
499,2314,2.0
499,2316,7.0
499,2321,6.0
499,2327,5.0
499,2328,2.0
499,2336,2.0
499,2354,18.0
499,2360,2.0
499,2386,4.0
499,2406,4.0
499,2446,14.0
499,2447,4.0
499,2448,2.0
499,2467,2.0
499,2468,12.0
499,2472,10.0
499,2473,5.0
499,2488,2.0
499,2497,2.0
499,2506,2.0
499,2512,4.0
499,2534,6.0
499,2537,2.0
499,2544,2.0
499,2545,2.0
499,2556,2.0
499,2563,2.0
499,2590,2.0
499,2604,2.0
499,2609,2.0
499,2617,4.0
499,2619,2.0
499,2625,2.0
499,2634,2.0
499,2635,6.0
499,2636,2.0
499,2644,2.0
499,2654,2.0
499,2660,4.0
499,2704,6.0
499,2707,20.0
499,2710,2.0
499,2721,6.0
499,2723,4.0
499,2725,2.0
499,2729,2.0
499,2735,4.0
499,2736,10.0
499,2737,6.0
499,2738,2.0
499,2744,12.0
499,2747,2.0
499,2750,2.0
499,2752,18.0
499,2755,2.0
499,2756,8.0
499,2759,4.0
499,2777,6.0
499,2798,14.0
499,2813,2.0
499,2814,8.0
499,2819,2.0
499,2846,2.0
499,2852,4.0
499,2859,3.0
499,2884,7.0
499,2915,6.0
499,2919,7.0
499,2960,2.0
499,2997,5.0
499,3017,5.0
499,3021,2.0
499,3075,4.0
499,3161,3.0
499,3254,6.0
499,3283,2.0
499,3289,5.0
499,3456,4.0
499,3961,2.0
508,23,4.0
508,138,8.0
508,150,22.0
508,794,4.0
515,665,6.0
522,29,2.0
522,150,16.0
522,499,2.0
522,720,22.0
522,746,8.0
522,776,14.0
522,1134,2.0
522,1197,4.0
541,510,2.0
549,138,8.0
549,150,2.0
549,196,2.0
549,495,4.0
549,499,8.0
549,504,2.0
549,508,4.0
549,510,6.0
549,515,2.0
549,522,12.0
549,523,2.0
549,534,2.0
549,538,2.0
549,548,2.0
549,550,6.0
549,558,2.0
549,583,4.0
549,642,2.0
549,649,2.0
549,718,2.0
549,723,6.0
549,776,2.0
549,2915,2.0
617,497,2.0
617,513,2.0
617,642,2.0
646,175,6.0
646,499,4.0
646,776,10.0
646,1677,2.0
693,1353,2.0
696,704,2.0
696,770,2.0
700,29,4.0
700,150,2.0
700,499,12.0
700,885,2.0
700,1583,2.0
700,1633,2.0
700,1673,21.0
700,1723,2.0
700,2669,2.0
700,2687,2.0
700,2699,8.0
700,2708,4.0
700,2727,2.0
700,2729,2.0
700,2745,4.0
700,2748,4.0
700,2774,5.0
700,2776,5.0
700,2777,2.0
700,2834,2.0
700,2837,3.0
700,3062,10.0
728,1181,2.0
740,23,2.0
756,704,2.0
772,150,4.0
772,499,2.0
772,674,2.0
772,704,10.0
772,719,2.0
772,720,20.0
772,722,2.0
772,740,2.0
772,747,2.0
772,763,2.0
772,774,2.0
772,1927,8.0
774,772,2.0
776,1255,2.0
776,1673,4.0
778,1120,2.0
794,23,2.0
794,32,4.0
794,61,4.0
794,70,2.0
794,97,4.0
794,107,4.0
794,129,8.0
794,138,28.0
794,150,28.0
794,225,5.0
794,335,3.0
794,363,3.0
794,364,2.0
794,371,3.0
794,389,2.0
794,391,3.0
794,392,3.0
794,452,3.0
794,472,4.0
794,499,8.0
794,515,2.0
794,522,16.0
794,527,3.0
794,561,3.0
794,562,3.0
794,569,3.0
794,573,3.0
794,577,3.0
794,578,3.0
794,595,3.0
794,596,3.0
794,604,3.0
794,605,3.0
794,606,3.0
794,610,3.0
794,611,3.0
794,617,4.0
794,618,6.0
794,635,2.0
794,646,4.0
794,657,3.0
794,659,3.0
794,661,3.0
794,663,3.0
794,666,2.0
794,667,2.0
794,669,3.0
794,674,8.0
794,681,3.0
794,705,3.0
794,710,3.0
794,712,2.0
794,718,2.0
794,726,3.0
794,732,3.0
794,733,3.0
794,736,3.0
794,737,3.0
794,742,2.0
794,744,3.0
794,745,3.0
794,748,3.0
794,750,3.0
794,753,3.0
794,764,3.0
794,765,3.0
794,766,3.0
794,771,3.0
794,785,3.0
794,786,2.0
794,792,3.0
794,798,3.0
794,801,2.0
794,808,3.0
794,812,6.0
794,813,3.0
794,814,4.0
794,821,2.0
794,822,2.0
794,823,2.0
794,825,2.0
794,826,2.0
794,834,2.0
794,837,2.0
794,842,2.0
794,850,2.0
794,859,4.0
794,864,2.0
794,880,2.0
794,885,2.0
794,910,2.0
794,1105,4.0
794,1109,2.0
794,1152,2.0
794,1320,2.0
794,2880,5.0
797,801,4.0
810,29,2.0
812,138,10.0
812,150,4.0
812,617,4.0
828,886,2.0
